"ABKO  NCORE 볼트론 USB 3.0,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 360 mm,CPU쿨러: 최대 157mm,"
"ABKO  NCORE 아수라 USB3.0 풀 아크릴 윈도우,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 370 mm,CPU쿨러: 최대 159mm,2열 수랭쿨러 지원"
"COX  A3 노빌레 풀아크릴윈도우 with 헤일로X4 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,380 mm,CPU쿨러: 156mm,2열 수랭쿨러 지원"
"ABKO  NCORE 사파이어 3.0 풀아크릴 & 강화유리,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 370 mm,CPU쿨러: 최대 159mm,2열 수랭쿨러 지원"
"마이크로닉스  Frontier H300 화이트,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 360 mm,CPU쿨러: 최대 156mm,"
"ABKO  NCORE 커브 USB3.0 풀 아크릴 윈도우 블랙 with 헤일로,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"대양케이스  ENIX USB 3.0 풀 아크릴 윈도우 화이트,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER 801G RGB 컨트롤 3면 강화유리 with HALO DOUBLING,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 9개,최대 450 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원"
"ABKO  NCORE G200 타노스 USB3.0,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 380 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER 501S RGB 무선리모트 강화유리 블랙,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 7개,최대 450 mm,CPU쿨러: 최대 160mm,2열 수랭쿨러 지원"
"마이크로닉스  팰콘 실버,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 134mm,2열 수랭쿨러 지원"
"아이구주  M1 타이푼 RING LED & 강화유리 화이트,아이구주,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 150mm,"
"대양케이스  CRUZER USB 3.0 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,2개,최대 360 mm,CPU쿨러: 160mm,2열 수랭쿨러 지원"
"ABKO  NCORE 커브 USB3.0 풀 아크릴 윈도우 화이트 with 헤일로,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"COX  A5 벨로체 USB3.0 풀 아크릴 윈도우 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"대양케이스  CARMEN USB 3.0 풀 아크릴 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,2개,최대 360 mm,CPU쿨러: 160mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER 330S 강화유리 with HALO 블랙,ABKO,PC케이스(ATX),미들타워,표준-ATX,O,O,O,,,,,O,최대 6개,최대 385 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"COX  A3 왈츠 USB3.0 풀 아크릴 윈도우,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,365 mm,CPU쿨러: 158mm,2열 수랭쿨러 지원"
"대양케이스  NEON USB 3.0 RGB LED Strips 풀 아크릴 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,2개,최대 360 mm,CPU쿨러: 160mm,2열 수랭쿨러 지원"
"3RSYS  T1000,3RSYS,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 9개,최대 348 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원"
"아이구주  M1 타이푼 RING LED & 강화유리,아이구주,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 150mm,"
"COX  RC 170T USB3.0,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,3개,최대 340 mm,CPU쿨러: 최대 150mm,"
"마이크로닉스  Frontier H300 블랙,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 360 mm,CPU쿨러: 최대 156mm,"
"3RSYS  L530 강화유리,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 410 mm,CPU쿨러: 최대 162mm,"
"대양케이스  LOCKON USB 3.0 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,2개,최대 360 mm,CPU쿨러: 160mm,"
"COX  A3 노빌레 풀아크릴윈도우 with 헤일로X4 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,380 mm,CPU쿨러: 156mm,2열 수랭쿨러 지원"
"대양케이스  Moonlight 화이트 Red LED,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원"
"ABKO  NCORE 팝,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 340 mm,CPU쿨러: 최대 150mm,"
"AONE  K7 오케스트라 LED FULL RGB USB 3.0,AONE,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,2개,최대 365 mm,CPU쿨러: 최대 155mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER 701S USB3.0 강화유리 블랙,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 7개,최대 400 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원"
"3RSYS  J210 해머,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,3개,최대 350 mm,CPU쿨러: 최대 153mm,"
"마이크로닉스  루키 USB 3.0,마이크로닉스,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 156mm,"
"ABKO  SUITMASTER 701S USB3.0 강화유리 화이트,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 7개,최대 400 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원"
"CORSAIR  CRYSTAL SERIES 570X RGB,CORSAIR,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 370 mm,CPU쿨러: 최대 170mm,3열 수랭쿨러 지원"
"SAMA  STALLION K901B Zero NOISE 강화유리 BLACK,SAMA,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,6개,최대 470 mm,CPU쿨러: 180mm,3열 수랭쿨러 지원"
"COX  A5 오페라 USB3.0 풀 아크릴 윈도우 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER EX201 Xcube 4면 강화유리,ABKO,PC케이스(RTX),빅타워,표준-ATX,O,O,O,,,,,O,최대 2개,최대 280 mm,CPU쿨러: 최대 155mm,2열 수랭쿨러 지원"
"ABKO  NCORE 티키 USB3.0,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 340 mm,CPU쿨러: 최대 150mm,"
"마이크로닉스  Frontier ARC-3000 화이트,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,최대 370 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER 720G RGB 컨트롤 4면 강화유리 with HALO DOUBLING,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,6개,최대 400 mm,CPU쿨러: 최대 165mm,3열 수랭쿨러 지원"
"BRAVOTEC  스텔스 EX270 파노라마 윈도우 블랙,BRAVOTEC,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,,최대 325 mm,CPU쿨러: 최대 165mm,3열 수랭쿨러 지원"
"대양케이스  ENIX USB 3.0 풀 아크릴 윈도우 블랙,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원"
"마이크로닉스  Frontier S300 Mini 화이트,마이크로닉스,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 1개,최대 340 mm,CPU쿨러: 최대 156mm,2열 수랭쿨러 지원"
"3RSYS  R360 풀 아크릴 윈도우 화이트,3RSYS,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 3개,최대 307 mm,CPU쿨러: 최대 135mm,"
"COX  A1 템포,COX,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 3개,최대 280 mm,CPU쿨러: 최대 145mm,"
"COX  AG 200X USB3.0 풀 아크릴 윈도우,COX,PC케이스(ATX),미들타워,,,,,,,,,,최대 2개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"대양케이스  Moonlight 블랙 Blue LED,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원"
"마이크로닉스  32형 FullHD 144Hz 게이밍 일체형케이스,마이크로닉스,기타,미들타워,표준-ATX,,O,O,,,,,O,최대 1개,최대 305 mm,,"
"ABKO  SUITMASTER 501S RGB 컨트롤 블랙,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 7개,최대 450 mm,CPU쿨러: 최대 160mm,2열 수랭쿨러 지원"
"Fractal Design  Define C Window,Fractal Design,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 315 mm,CPU쿨러: 168mm,3열 수랭쿨러 지원"
"잘만  Z3 PLUS,잘만,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 1개,최대 360 mm,,"
"3RSYS  L530 화이트 강화유리,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 410 mm,CPU쿨러: 최대 162mm,"
"마이크로닉스  레이저 RGB LED,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 405 mm,CPU쿨러: 최대 158mm,2열 수랭쿨러 지원"
"ABKO  NCORE G200 타노스 USB3.0 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 380 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"COX  AG 200X USB3.0 풀 아크릴 윈도우 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"ABKO  SUITMASTER 501S RGB 무선리모트 강화유리 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 7개,최대 450 mm,CPU쿨러: 최대 160mm,2열 수랭쿨러 지원"
"COX  A5 벨로체 USB3.0 풀 아크릴 윈도우 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"3RSYS  L1100,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 380 mm,CPU쿨러: 최대 172mm,3열 수랭쿨러 지원"
"ABKO  SUITMASTER 330S 강화유리 with HALO 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,O,O,O,,,,,O,최대 6개,최대 385 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"Fractal Design  Define Mini C Window,Fractal Design,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 5개,최대 315 mm,CPU쿨러: 168mm,2열 수랭쿨러 지원"
"아이구주  M2 타이푼 RING LED & 강화유리,아이구주,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 390 mm,CPU쿨러: 최대 160mm,"
"COX  A7 레가토 USB3.0 강화유리 블랙,COX,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 5개,최대 415 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원"
"마이크로닉스  32형 QHD 게이밍 일체형케이스,마이크로닉스,기타,미들타워,표준-ATX,,O,O,,,,,O,최대 1개,최대 305 mm,,"
"아이구주 나라테크윈 I-2AL USB 3.0,아이구주,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,,최대 1개,최대 220 mm,,"
"마이크로닉스  루팡,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 330 mm,CPU쿨러: 최대 145mm,"
"COX  A7 레가토 USB3.0 강화유리 화이트,COX,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 5개,최대 415 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원"
"ABKO  NCORE 넘버원,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 1개,최대 340 mm,CPU쿨러: 최대 140mm,"
"IN WIN  EM048 USB3.0,IN WIN,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 1개,최대 350 mm,CPU쿨러: 최대 165mm,"
"대양케이스  BARON USB 3.0 풀 아크릴 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,2개,최대 360 mm,CPU쿨러: 160mm,2열 수랭쿨러 지원"
"마이크로닉스  팰콘 블랙,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 134mm,2열 수랭쿨러 지원"
"BRAVOTEC  디파이 B40 BLACK,BRAVOTEC,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 295 mm,CPU쿨러: 최대 180mm,2열 수랭쿨러 지원"
"대양케이스  Moonlight 블랙 화이트 LED 풀 아크릴 윈도우,대양케이스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 2개,최대 360 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원"
"COX  A3 인트로 USB3.0 풀 아크릴 윈도우 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,최대 380 mm,CPU쿨러: 최대 160mm,"
"COX  A3 인트로 USB3.0 풀 아크릴 윈도우 화이트,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,최대 380 mm,CPU쿨러: 최대 160mm,"
"잘만  Z1 NEO,잘만,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 375 mm,CPU쿨러: 최대 160mm,"
"3RSYS  J10,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,2개,최대 330 mm,CPU쿨러: 최대 147mm,"
"3RSYS  L1000 강화유리,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 380 mm,CPU쿨러: 최대 172mm,2열 수랭쿨러 지원"
"BRAVOTEC  스텔스 TX 블랙 파노라마 윈도우,BRAVOTEC,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 8개,최대 325 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원"
"아이구주  M70 USB 3.0,아이구주,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 310 mm,CPU쿨러: 최대 150mm,"
"Fractal Design  Define R5 Blackout,Fractal Design,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 440 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원"
"3RSYS  AD 500,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 12개,최대 427 mm,CPU쿨러: 최대 175mm,3열 수랭쿨러 지원"
"아이구주  G26 USB 3.0 풀 아크릴 윈도우 블랙,아이구주,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 350 mm,CPU쿨러: 최대 153mm,2열 수랭쿨러 지원"
"아이구주 나라테크윈 N-2AL USB 3.0,아이구주,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 4개,최대 350 mm,CPU쿨러: 최대 155mm,2열 수랭쿨러 지원"
"CORSAIR  OBSIDIAN 900D,CORSAIR,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 9개,최대 540 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원"
"아이구주  E-2 알바트로스 RGB LED,아이구주,PC케이스(ATX),미들타워,표준-ATX,O,O,O,,,,,O,최대 6개,최대 400 mm,CPU쿨러: 최대 170mm,2열 수랭쿨러 지원"
"IN WIN  303 화이트,IN WIN,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 350 mm,CPU쿨러: 최대 160mm,3열 수랭쿨러 지원"
"be quiet  DARK BASE PRO 900 SILVER,be quiet,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 15개,최대 472 mm,CPU쿨러: 최대 185mm,3열 수랭쿨러 지원"
"be quiet  DARK BASE PRO 900 BLACK,be quiet,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 15개,최대 472 mm,CPU쿨러: 최대 185mm,3열 수랭쿨러 지원"
"COX  A7 토닉 USB3.0 풀 아크릴 윈도우,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,최대 365 mm,CPU쿨러: 최대 160mm,2열 수랭쿨러 지원"
"마이크로닉스  Noir(느와르) Mini USB 3.0,마이크로닉스,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,,1개,최대 350 mm,CPU쿨러: 최대 150mm,"
"BRAVOTEC  트레저 X6 630T 타이탄 글래스 스노우 화이트,BRAVOTEC,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 5개,최대 420 mm,CPU쿨러: 최대 170mm,3열 수랭쿨러 지원"
"3RSYS  L1000 화이트 강화유리,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 380 mm,CPU쿨러: 최대 172mm,2열 수랭쿨러 지원"
"3RSYS  L520,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 5개,최대 410 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"Fractal Design  Define R5 화이트&골드 Window,Fractal Design,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 440 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원"
"3RSYS  R360 풀 아크릴 윈도우 블랙,3RSYS,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 3개,최대 307 mm,CPU쿨러: 최대 135mm,"
"Fractal Design  Define R5 Blackout Window,Fractal Design,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 440 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원"
"GMC  바라쿠다,GMC,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,,최대 3개,최대 300 mm,CPU쿨러: 최대 158mm,"
"IN WIN  301 화이트,IN WIN,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 330 mm,CPU쿨러: 최대 158mm,2열 수랭쿨러 지원"
"마이크로닉스  24인치 풀HD 일체형케이스 MB401,마이크로닉스,미니ITX,미들타워,DC to DC,,,,,,,,O,최대 1개,,,"
"마이크로닉스  34형 커브드 UWQHD 수냉 일체형케이스,마이크로닉스,기타,미들타워,FLEX,,,,,,,,O,최대 1개,최대 300 mm,,"
"아이구주  G30 USB 3.0 풀 아크릴 윈도우 블랙,아이구주,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 350 mm,CPU쿨러: 최대 153mm,3열 수랭쿨러 지원"
"COX  A5 코다 USB3.0 풀 아크릴 윈도우 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,최대 375 mm,CPU쿨러: 최대 162mm,2열 수랭쿨러 지원"
"ABKO  NCORE 알리,ABKO,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 3개,최대 280 mm,CPU쿨러: 최대 145mm,"
"BRAVOTEC  디파이 B40 화이트,BRAVOTEC,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 2개,최대 295 mm,CPU쿨러: 최대 180mm,2열 수랭쿨러 지원"
"ABKO  NCORE 벤투스 USB3.0,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 365 mm,CPU쿨러: 최대 158mm,2열 수랭쿨러 지원"
"마이크로닉스  34형 커브드 UWQHD 일체형케이스,마이크로닉스,기타,미들타워,FLEX,,,,,,,,O,최대 1개,최대 300 mm,,"
"ABKO  NCORE 오로라 RGB 튜닝 LED 강화유리,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 4개,380 mm,CPU쿨러: 162mm,2열 수랭쿨러 지원"
"ABKO  NCORE 사파이어 3.0 풀아크릴 & 강화유리 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 370 mm,CPU쿨러: 최대 159mm,2열 수랭쿨러 지원"
"3RSYS  R3 USB3.0,3RSYS,PC케이스(M-ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 300 mm,CPU쿨러: 최대 147mm,"
"SAMA  STALLION K901B Zero NOISE BLACK,SAMA,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,6개,최대 470 mm,CPU쿨러: 180mm,3열 수랭쿨러 지원"
"COUGAR  PANZER MAX BRAVOTEC,COUGAR,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 6개,최대 380 mm,CPU쿨러: 최대 170mm,3열 수랭쿨러 지원"
"COX  A4 이퀄라이저 RGB 컨트롤 풀 아크릴 윈도우 블랙,COX,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 365 mm,CPU쿨러: 최대 155mm,"
"마이크로닉스  CORBY mini USB 3.0,마이크로닉스,PC케이스(M-ATX),미니타워,표준-ATX,,,O,,,,,O,최대 3개,최대 280 mm,CPU쿨러: 최대 150mm,"
"SAMA  STALLION K902B RGB 컨트롤 강화유리 블랙,SAMA,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,최대 7개,최대 455 mm,CPU쿨러: 180mm,3열 수랭쿨러 지원"
