"인텔 코어i7-7세대 7700 (카비레이크)(정품),인텔,인텔(코어i7-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,3.6 GHz,14nm,65 W,,인텔 HD 630"
"인텔 코어i5-7세대 7500 (카비레이크)(정품),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.4 GHz,14nm,65 W,,인텔 HD 630"
"AMD 라이젠 5 1600 (서밋 릿지)(정품),AMD,AMD(라이젠 5),AMD(소켓AM4),64 비트,헥사(6) 코어,쓰레드 12개,3.2 GHz,14nm,65 W,,"
"AMD 라이젠 7 1700 (서밋 릿지)(정품),AMD,AMD(라이젠 7),AMD(소켓AM4),64 비트,옥타(8) 코어,쓰레드 16개,3.0 GHz,14nm,65 W,,"
"인텔 펜티엄 G4560 (카비레이크)(정품),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.5 GHz,14nm,54 W,,인텔 HD 610"
"인텔 코어i7-7세대 7700K (카비레이크)(정품),인텔,인텔(코어i7-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,4.2 GHz,14nm,91 W,,인텔 HD 630"
"인텔 코어i3-7세대 7100 (카비레이크)(정품),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.9 GHz,14nm,51 W,,인텔 HD 630"
"AMD 라이젠 5 1500X (서밋 릿지)(정품),AMD,AMD(라이젠 5),AMD(소켓AM4),64 비트,쿼드 코어,쓰레드 8개,3.5 GHz,14nm,65 W,,"
"인텔 코어i5-7세대 7600 (카비레이크)(정품),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.5 GHz,14nm,65 W,,인텔 HD 630"
"인텔 코어i5-7세대 7400 (카비레이크)(정품),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.0 GHz,14nm,65 W,,인텔 HD 630"
"인텔 셀러론 G3930 (카비레이크)(정품),인텔,인텔(셀러론),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 2개,2.9 GHz,14nm,51 W,,인텔 HD 610"
"AMD 라이젠 5 1600X (서밋 릿지)(정품),AMD,AMD(라이젠 5),AMD(소켓AM4),64 비트,헥사(6) 코어,쓰레드 12개,3.6 GHz,14nm,95 W,,"
"AMD 라이젠 5 1400 (서밋 릿지)(정품),AMD,AMD(라이젠 5),AMD(소켓AM4),64 비트,쿼드 코어,쓰레드 8개,3.2 GHz,14nm,65 W,,"
"AMD 라이젠 7 1800X (서밋 릿지)(멀티팩),AMD,AMD(라이젠 7),AMD(소켓AM4),64 비트,옥타(8) 코어,쓰레드 16개,3.6 GHz,14nm,95 W,,"
"인텔 펜티엄 G4400 (스카이레이크)(정품),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 2개,3.3 GHz,14nm,54 W,윈도우 7 가상화,인텔 HD 510"
"AMD FX 8300 (비쉐라)(멀티팩),AMD,AMD(FX),AMD(소켓AM3+),64(32) 비트,옥타(8) 코어,쓰레드 8개,3.3 GHz,32nm,95 W,윈도우 7 가상화,"
"인텔 코어i5-7세대 7600K (카비레이크)(정품),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.8 GHz,14nm,91 W,,인텔 HD 630"
"AMD 라이젠 7 1700X (서밋 릿지)(정품),AMD,AMD(라이젠 7),AMD(소켓AM4),64 비트,옥타(8) 코어,쓰레드 16개,3.4 GHz,14nm,95 W,,"
"인텔 코어i5-6세대 6600 (스카이레이크)(정품),인텔,인텔(코어i5-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.3 GHz,14nm,65 W,윈도우 7 가상화,인텔 HD 530"
"인텔 펜티엄 G4600 (카비레이크)(정품),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.6 GHz,14nm,51 W,,인텔 HD 630"
"인텔 코어i5-6세대 6500 (스카이레이크)(정품),인텔,인텔(코어i5-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.2 GHz,14nm,65 W,윈도우 7 가상화,인텔 HD 530"
"인텔 코어i7-6세대 6700K (스카이레이크)(정품),인텔,인텔(코어i7-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,4.0 GHz,14nm,91 W,윈도우 7 가상화,인텔 HD 530"
"인텔 코어i3-6세대 6100 (스카이레이크)(정품),인텔,인텔(코어i3-6세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.7 GHz,14nm,51 W,윈도우 7 가상화,인텔 HD 530"
"인텔 코어i7-6세대 6700 (스카이레이크)(정품),인텔,인텔(코어i7-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,3.4 GHz,14nm,65 W,윈도우 7 가상화,인텔 HD 530"
"AMD A8 7600 (카베리)(정품),AMD,AMD(카베리-A8),AMD(소켓FM2+),64(32) 비트,쿼드 코어,쓰레드 4개,3.1 GHz,28nm,65 W,,AMD R7 시리즈"
"인텔 코어i3-7세대 7350K (카비레이크)(정품),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,4.2 GHz,14nm,60 W,,인텔 HD 630"
"인텔 코어i5-4세대 4690 (하스웰 리프레시)(정품),인텔,인텔(코어i5-4세대),인텔(소켓1150),64(32) 비트,쿼드 코어,쓰레드 4개,3.5 GHz,22nm,84 W,윈도우 7 가상화,인텔 HD 4600"
"인텔 제온 E3-1230V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.4 GHz,14nm,80 W,,"
"AMD 라이젠 7 1800X (서밋 릿지)(정품),AMD,AMD(라이젠 7),AMD(소켓AM4),64 비트,옥타(8) 코어,쓰레드 16개,3.6 GHz,14nm,95 W,,"
"인텔 코어i5-6세대 6400 (스카이레이크)(정품),인텔,인텔(코어i5-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,2.7 GHz,14nm,65 W,윈도우 7 가상화,인텔 HD 530"
"AMD A10 7870K (고다바리)(정품),AMD,AMD(고다바리-A10),AMD(소켓FM2+),64 비트,쿼드 코어,쓰레드 4개,3.9 GHz,28nm,95 W,윈도우 7 가상화,AMD R7 시리즈"
"인텔 셀러론 G1850 (하스웰 리프레시)(정품),인텔,인텔(셀러론),인텔(소켓1150),64(32) 비트,듀얼 코어,쓰레드 2개,2.9 GHz,22nm,54 W,,인텔 HD"
"인텔 코어i3-7세대 7300 (카비레이크)(정품),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,4.0 GHz,14nm,51 W,,인텔 HD 630"
"인텔 코어i5-6세대 6600K (스카이레이크)(정품),인텔,인텔(코어i5-6세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.5 GHz,14nm,91 W,윈도우 7 가상화,인텔 HD 530"
"인텔 제온 E5-2620 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,옥타(8) 코어,쓰레드 16개,2.1 GHz,14nm,85 W,,"
"AMD A4 7300 (리치랜드)(정품),AMD,AMD(리치랜드-A4),AMD(소켓FM2),64(32) 비트,듀얼 코어,쓰레드 2개,3.8 GHz,32nm,65 W,윈도우 7 가상화,AMD HD 8470D"
"AMD 애슬론-X4 860K (카베리)(정품),AMD,AMD(애슬론-X4),AMD(소켓FM2+),64(32) 비트,쿼드 코어,쓰레드 4개,3.7 GHz,28nm,95 W,윈도우 7 가상화,"
"AMD FX 8370 (비쉐라)(정품),AMD,AMD(FX),AMD(소켓AM3+),64(32) 비트,옥타(8) 코어,쓰레드 8개,4.0 GHz,32nm,125 W,윈도우 7 가상화,"
"AMD A8 7670K (고다바리)(정품),AMD,AMD(고다바리-A8),AMD(소켓FM2+),64 비트,쿼드 코어,쓰레드 4개,3.6 GHz,28nm,95 W,윈도우 7 가상화,AMD R7 시리즈"
"AMD A6 7400K (카베리)(정품),AMD,AMD(카베리-A6),AMD(소켓FM2+),64(32) 비트,듀얼 코어,쓰레드 2개,3.5 GHz,28nm,65 W,,AMD R5 시리즈"
"인텔 코어i5-4세대 4460 (하스웰 리프레시)(정품),인텔,인텔(코어i5-4세대),인텔(소켓1150),64(32) 비트,쿼드 코어,쓰레드 4개,3.2 GHz,22nm,84 W,윈도우 7 가상화,인텔 HD 4600"
"인텔 코어i3-7세대 7320 (카비레이크)(정품),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,4.1 GHz,14nm,51 W,,인텔 HD 630"
"인텔 제온 E5-2630 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,10 코어,쓰레드 20개,2.2 GHz,14nm,85 W,,"
"인텔 제온 E3-1220V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 4개,3.0 GHz,14nm,80 W,,"
"AMD A4 6300 (리치랜드)(정품),AMD,AMD(리치랜드-A4),AMD(소켓FM2),64(32) 비트,듀얼 코어,쓰레드 2개,3.7 GHz,32nm,65 W,윈도우 7 가상화,"
"인텔 제온 E5-2687W v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,12 코어,쓰레드 24개,3.0 GHz,14nm,160 W,,"
"인텔 제온 E5-2683 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,16 코어,쓰레드 32개,2.1 GHz,14nm,120 W,,"
"인텔 코어i5-4세대 4590 (하스웰 리프레시)(정품),인텔,인텔(코어i5-4세대),인텔(소켓1150),64(32) 비트,쿼드 코어,쓰레드 4개,3.3 GHz,22nm,84 W,윈도우 7 가상화,인텔 HD 4600"
"인텔 코어i3-6세대 6300 (스카이레이크)(정품),인텔,인텔(코어i3-6세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.8 GHz,14nm,51 W,윈도우 7 가상화,인텔 HD 530"
"인텔 제온 E3-1270V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.6 GHz,14nm,80 W,,"
"인텔 제온 E3-1275V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.6 GHz,14nm,80 W,,인텔 HD P530"
"인텔 제온 E3-1245V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.5 GHz,14nm,80 W,,인텔 HD P530"
"인텔 제온 E3-1225V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 4개,3.3 GHz,14nm,80 W,,인텔 HD P530"
"AMD 셈프론 145 (사르가스)(정품),AMD,AMD(셈프론),AMD(소켓AM3),64(32) 비트,싱글 코어,쓰레드 1개,2.8 GHz,45nm,45 W,,"
"AMD 셈프론 APU 2650 (카비니)(정품),AMD,AMD(셈프론 APU),AMD(소켓AM1),64(32) 비트,듀얼 코어,쓰레드 2개,1.45 GHz,28nm,25 W,윈도우 7 가상화,AMD R3 시리즈"
"인텔 제온 E3-1240V5 (스카이레이크)(정품),인텔,인텔(제온),인텔(소켓1151),64(32) 비트,쿼드 코어,쓰레드 8개,3.5 GHz,14nm,80 W,,"
"인텔 제온 E5-2603 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,헥사(6) 코어,쓰레드 6개,1.7 GHz,14nm,85 W,,"
"인텔 제온 E5-2680 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,14 코어,쓰레드 28개,2.4 GHz,14nm,120 W,,"
"인텔 제온 E5-2690 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,12 코어,쓰레드 24개,2.6 GHz,14nm,135 W,,"
"인텔 제온 E5-2640 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,10 코어,쓰레드 20개,2.4 GHz,14nm,85 W,,"
"인텔 제온 E5-2650 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,12 코어,쓰레드 24개,2.2 GHz,14nm,105 W,,"
"인텔 제온 E5-2609 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,옥타(8) 코어,쓰레드 8개,1.7 GHz,14nm,85 W,,"
"인텔 제온 E5-2660 v4 (브로드웰-EP)(정품),인텔,인텔(제온),인텔(소켓2011-V3),64 비트,14 코어,쓰레드 28개,2.0 GHz,14nm,105 W,,"
"AMD 셈프론 APU 3850 (카비니)(정품),AMD,AMD(셈프론 APU),AMD(소켓AM1),64(32) 비트,쿼드 코어,쓰레드 4개,1.3 GHz,28nm,25 W,윈도우 7 가상화,AMD R3 시리즈"
"AMD 애슬론 APU 5150 (카비니)(정품),AMD,AMD(애슬론 APU),AMD(소켓AM1),64(32) 비트,쿼드 코어,쓰레드 4개,1.6 GHz,28nm,25 W,윈도우 7 가상화,AMD R3 시리즈"
"인텔 하이엔드 데스크탑 4960X (아이비브릿지-E)(정품),인텔,인텔(코어i7),인텔(소켓2011),64(32) 비트,헥사(6) 코어,쓰레드 12개,3.6 GHz,22nm,130 W,윈도우 7 가상화,"
"AMD 라이젠 5 1600X (서밋 릿지)(멀티팩),AMD,AMD(라이젠 5),AMD(소켓AM4),64 비트,헥사(6) 코어,쓰레드 12개,3.6 GHz,14nm,95 W,,"
"AMD FX 8300 (비쉐라)(멀티팩 + 레이스 쿨러),AMD,AMD(FX),AMD(소켓AM3+),64(32) 비트,옥타(8) 코어,쓰레드 8개,3.3 GHz,32nm,95 W,윈도우 7 가상화,"
"AMD 라이젠 7 1700X (서밋 릿지)(멀티팩),AMD,AMD(라이젠 7),AMD(소켓AM4),64 비트,옥타(8) 코어,쓰레드 16개,3.4 GHz,14nm,95 W,,"
"인텔 펜티엄 G4560 (카비레이크)(벌크),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.5 GHz,14nm,54 W,,인텔 HD 610"
"인텔 펜티엄 G4560 (카비레이크)(벌크 + 쿨러),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.5 GHz,14nm,54 W,,인텔 HD 610"
"인텔 하이엔드 데스크탑 6800K (브로드웰-E)(정품 박스),인텔,인텔(코어i7-5세대),인텔(소켓2011-V3),64 비트,헥사(6) 코어,쓰레드 12개,3.4 GHz,14nm,140 W,,"
"인텔 코어i5-7세대 7500 (카비레이크)(벌크 + 쿨러),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.4 GHz,14nm,65 W,,인텔 HD 630"
"인텔 코어i7-7세대 7700 (카비레이크)(병행수입 박스),인텔,인텔(코어i7-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,3.6 GHz,14nm,65 W,,인텔 HD 630"
"인텔 코어i5-7세대 7400 (카비레이크)(벌크 + 쿨러),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.0 GHz,14nm,65 W,,인텔 HD 630"
"인텔 코어i5-7세대 7500 (카비레이크)(벌크),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.4 GHz,14nm,65 W,,인텔 HD 630"
"인텔 코어i7-7세대 7700 (카비레이크)(벌크),인텔,인텔(코어i7-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,3.6 GHz,14nm,65 W,,인텔 HD 630"
"인텔 코어i5-3세대 3570 (아이비브릿지)(벌크 + 쿨러),인텔,인텔(코어i5-3세대),인텔(소켓1155),64(32) 비트,쿼드 코어,쓰레드 4개,3.4 GHz,22nm,77 W,윈도우 7 가상화,인텔 HD 2500"
"AMD FX 8300 (비쉐라)(정품),AMD,AMD(FX),AMD(소켓AM3+),64(32) 비트,옥타(8) 코어,쓰레드 8개,3.3 GHz,32nm,95 W,윈도우 7 가상화,"
"인텔 하이엔드 데스크탑 6950X (브로드웰-E)(정품 박스),인텔,인텔(코어i7-5세대),인텔(소켓2011-V3),64 비트,10 코어,쓰레드 20개,3.0 GHz,14nm,140 W,,"
"AMD 애슬론-X4 845 (카리조)(정품),AMD,AMD(애슬론-X4),AMD(소켓FM2+),64 비트,쿼드 코어,쓰레드 4개,3.5 GHz,28nm,65 W,,"
"인텔 코어i7-7세대 7700K (카비레이크)(벌크 + 쿨러),인텔,인텔(코어i7-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 8개,4.2 GHz,14nm,91 W,,인텔 HD 630"
"인텔 코어i3-7세대 7100 (카비레이크)(벌크 + 쿨러),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.9 GHz,14nm,51 W,,인텔 HD 630"
"인텔 제온 E3-1231V3 (하스웰 리프레시)(정품),인텔,인텔(제온),인텔(소켓1150),64(32) 비트,쿼드 코어,쓰레드 8개,3.4 GHz,22nm,80 W,윈도우 7 가상화,"
"인텔 펜티엄 G4400 (스카이레이크)(벌크 + 쿨러),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 2개,3.3 GHz,14nm,54 W,윈도우 7 가상화,인텔 HD 510"
"인텔 코어i5-7세대 7600 (카비레이크)(벌크 + 쿨러),인텔,인텔(코어i5-7세대),인텔(소켓1151),64 비트,쿼드 코어,쓰레드 4개,3.5 GHz,14nm,65 W,,인텔 HD 630"
"인텔 하이엔드 데스크탑 6900K (브로드웰-E)(정품 박스),인텔,인텔(코어i7-5세대),인텔(소켓2011-V3),64 비트,옥타(8) 코어,쓰레드 16개,3.2 GHz,14nm,140 W,,"
"인텔 펜티엄 G4560 (카비레이크)(병행수입 박스),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.5 GHz,14nm,54 W,,인텔 HD 610"
"인텔 코어i3-7세대 7100 (카비레이크)(벌크),인텔,인텔(코어i3-7세대),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 4개,3.9 GHz,14nm,51 W,,인텔 HD 630"
"인텔 펜티엄 G4400 (스카이레이크)(벌크),인텔,인텔(펜티엄),인텔(소켓1151),64 비트,듀얼 코어,쓰레드 2개,3.3 GHz,14nm,54 W,윈도우 7 가상화,인텔 HD 510"
