"삼성전자  DDR4 8G PC4-19200(정품),삼성전자,DDR4,PC용,1ea,미포함,8GB,2,400MHz,"
"TeamGroup T-Force DDR4 16G PC4-21300 CL15 DARK Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2,666MHz,1.20V"
"CORSAIR  DDR4 16GB PC4-25600 CL16 VENGEANCE RGB (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"TeamGroup T-Force DDR4 8G PC4-21300 CL15 VULCAN Red (4Gx2),TeamGroup,DDR4,PC용,2ea,포함,8GB,2,666MHz,1.20V"
"CORSAIR  DDR4 16G PC4-21300 CL16 VENGEANCE LED 레드 (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,2,666MHz,1.20V"
"TeamGroup  DDR4 8G PC4-19200 New Elite Plus Black Gold,TeamGroup,DDR4,PC용,1ea,포함,8GB,2,400MHz,1.20V"
"CORSAIR  DDR4 32G PC4-28800 CL16 Dominator Platinum (8Gx4),CORSAIR,DDR4,PC용,4ea,포함,32GB,3,600MHz,1.20V"
"TeamGroup T-Force DDR4 16G PC4-19200 CL15 DARK Red,TeamGroup,DDR4,PC용,1ea,포함,16GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-24000 CL16 SUPER LUCE BLACK 레드 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"GeIL  DDR4 8G PC4-19200 CL15 SUPER LUCE BLACK 레드 (4Gx2),GeIL,DDR4,PC용,2ea,포함,8GB,2,400MHz,1.20V"
"G.SKILL  DDR4 16G PC4-17000 CL15 RIPJAWS V VR,G.SKILL,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"TeamGroup  DDR4 16G PC4-17000 Elite,TeamGroup,DDR4,PC용,1ea,미포함,16GB,2,133MHz,1.20V"
"G.SKILL  DDR4 32G PC4-25600 CL16 TRIDENT ZKO (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3,200MHz,1.35V"
"G.SKILL  DDR4 8G PC4-19200 CL15 RIPJAWS V VR,G.SKILL,DDR4,PC용,1ea,포함,8GB,2,400MHz,1.20V"
"타무즈  노트북 DDR4 4G PC4-17000 CL15,타무즈,DDR4,노트북용,1ea,미포함,4GB,2,133MHz,1.20V"
"마이크론 Crucial DDR4 8G PC4-17000 CT8G4DFS8213,마이크론,DDR4,PC용,1ea,미포함,8GB,2,133MHz,1.20V"
"CORSAIR  DDR4 32G PC4-25600 CL14 VENGEANCE LPX 레드 (8Gx4),CORSAIR,DDR4,PC용,4ea,포함,32GB,3,200MHz,1.35V"
"G.SKILL  DDR4 16G PC4-28800 CL17 TRIDENT ZKW (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,600MHz,1.35V"
"G.SKILL  DDR4 16G PC4-25600 CL16 RIPJAWS V VKB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"G.SKILL  DDR4 8G PC4-21300 CL15 RIPJAWS V VS,G.SKILL,DDR4,PC용,1ea,포함,8GB,2,666MHz,1.20V"
"타무즈  노트북 DDR3 4G PC3-12800 CL11 1.35V,타무즈,DDR3,노트북용,1ea,미포함,4GB,1,600MHz,1.35V"
"GeIL  DDR4 4G PC4-17000 CL15 SUPER LUCE WHITE 레드,GeIL,DDR4,PC용,1ea,포함,4GB,2,133MHz,1.20V"
"G.SKILL  DDR4 16G PC4-25600 CL16 TRIDENT ZKY (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"GeIL  DDR4 16G PC4-19200 CL15 SUPER LUCE WHITE 블루 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"G.SKILL  DDR4 16G PC4-19200 CL15 RIPJAWS V VS,G.SKILL,DDR4,PC용,1ea,포함,16GB,2,400MHz,1.20V"
"TeamGroup  노트북 DDR4 4G PC4-17000,TeamGroup,DDR4,노트북용,1ea,미포함,4GB,2,133MHz,1.20V"
"G.SKILL  DDR4 16G PC4-17000 CL15 RIPJAWS V VB,G.SKILL,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"G.SKILL  DDR4 16G PC4-21300 CL15 RIPJAWS V VR,G.SKILL,DDR4,PC용,1ea,포함,16GB,2,666MHz,1.20V"
"GeIL  DDR4 4G PC4-17000 CL15 SUPER LUCE BLACK 블루,GeIL,DDR4,PC용,1ea,포함,4GB,2,133MHz,1.20V"
"GeIL  DDR4 16G PC4-19200 CL15 SUPER LUCE BLACK 화이트 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"G.SKILL  DDR4 16G PC4-17000 CL15 RIPJAWS V VS,G.SKILL,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"G.SKILL  DDR4 32G PC4-24000 CL15 TRIDENT Z (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3,000MHz,1.35V"
"CORSAIR  DDR4 64G PC4-21300 CL15 Dominator Platinum (16Gx4),CORSAIR,DDR4,PC용,4ea,포함,64GB,2,666MHz,1.20V"
"G.SKILL  DDR4 16G PC4-19200 CL15 RIPJAWS V VR,G.SKILL,DDR4,PC용,1ea,포함,16GB,2,400MHz,1.20V"
"G.SKILL  DDR4 16G PC4-24000 CL15 RIPJAWS V VR,G.SKILL,DDR4,PC용,1ea,포함,16GB,3,000MHz,1.35V"
"G.SKILL  DDR4 16G PC4-24000 CL15 RIPJAWS V VRB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"G.SKILL  DDR4 16G PC4-25600 CL16 TRIDENT ZSW (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"G.SKILL  DDR4 16G PC4-25600 CL16 RIPJAWS V VS (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"TeamGroup T-Force DDR4 16G PC4-21300 CL15 DARK Gray (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2,666MHz,1.20V"
"TeamGroup  DDR4 16G PC4-19200 New Elite Plus Black Gold,TeamGroup,DDR4,PC용,1ea,포함,16GB,2,400MHz,1.20V"
"G.SKILL  DDR4 16G PC4-19200 CL15 RIPJAWS V VB,G.SKILL,DDR4,PC용,1ea,포함,16GB,2,400MHz,1.20V"
"타무즈  노트북 DDR3 4G PC3-10600 CL9,타무즈,DDR3,노트북용,1ea,미포함,4GB,1,333MHz,1.50V"
"GeIL  DDR4 16G PC4-19200 CL15 SUPER LUCE WHITE 그린 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"TeamGroup  노트북 DDR4 8G PC4-17000,TeamGroup,DDR4,노트북용,1ea,미포함,8GB,2,133MHz,1.20V"
"G.SKILL  DDR4 16G PC4-28800 CL17 TRIDENT Z (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,600MHz,1.35V"
"GeIL  DDR4 32G PC4-19200 CL14 SUPER LUCE BLACK 레드 (16Gx2),GeIL,DDR4,PC용,2ea,포함,32GB,2,400MHz,1.20V"
"G.SKILL  DDR4 16G PC4-25600 CL16 TRIDENT ZKO (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"GeIL  DDR4 16G PC4-24000 CL16 SUPER LUCE WHITE 블루 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"TeamGroup T-Force DDR4 16G PC4-22400 CL16 DARK Gray (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2,800MHz,1.20V"
"GeIL  DDR4 16G PC4-24000 CL16 SUPER LUCE WHITE 레드 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"GeIL  DDR4 4G PC4-17000 CL15 PRISTINE,GeIL,DDR4,PC용,1ea,미포함,4GB,2,133MHz,1.20V"
"G.SKILL  DDR4 16G PC4-25600 CL16 RIPJAWS V VR (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"TeamGroup  DDR4 4G PC4-17000 Elite,TeamGroup,DDR4,PC용,1ea,미포함,4GB,2,133MHz,1.20V"
"G.SKILL  DDR4 64G PC4-28800 CL17 TRIDENT Z (16Gx4),G.SKILL,DDR4,PC용,4ea,포함,64GB,3,600MHz,1.35V"
"G.SKILL  DDR4 16G PC4-24000 CL15 RIPJAWS V VKB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"CORSAIR  DDR4 32G PC4-25600 CL16 VENGEANCE LPX 레드 (16Gx2),CORSAIR,DDR4,PC용,2ea,포함,32GB,3,200MHz,1.20V"
"G.SKILL  DDR4 8G PC4-24000 CL15 TRIDENT Z (4Gx2),G.SKILL,DDR4,PC용,2ea,포함,8GB,3,000MHz,1.35V"
"TeamGroup T-Force DDR4 16G PC4-19200 CL14 DARK Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"GeIL  DDR4 4G PC4-17000 CL15 EVO-X 화이트 RGB (4Gx1),GeIL,DDR4,PC용,1ea,포함,4GB,2,133MHz,1.20V"
"GeIL  DDR4 16G PC4-19200 CL16 EVO FORZA 레드 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"CORSAIR  DDR4 16G PC4-21300 CL15 Dominator Platinum (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,2,666MHz,1.20V"
"TeamGroup T-Force DDR4 8G PC4-21300 CL15 DARK Gray (4Gx2),TeamGroup,DDR4,PC용,2ea,포함,8GB,2,666MHz,1.20V"
"G.SKILL  DDR4 4G PC4-17000 CL15 NT (4Gx1),G.SKILL,DDR4,PC용,1ea,미포함,4GB,2,133MHz,1.20V"
"G.SKILL  DDR4 32G PC4-28800 CL17 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3,600MHz,1.35V"
"G.SKILL  DDR4 16G PC4-25600 CL16 RIPJAWS V VK (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"TeamGroup  DDR4 4G PC4-17000 New Elite Plus Black Gold,TeamGroup,DDR4,PC용,1ea,포함,4GB,2,133MHz,1.20V"
"G.SKILL  DDR4 64G PC4-28800 CL17 TRIDENT ZKW (16Gx4),G.SKILL,DDR4,PC용,4ea,포함,64GB,3,600MHz,1.35V"
"G.SKILL  DDR4 16G PC4-27200 CL16 TRIDENT Z (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,400MHz,1.35V"
"타무즈  노트북 DDR3 4G PC3-8500 CL7,타무즈,DDR3,노트북용,1ea,미포함,4GB,1,066MHz,1.50V"
"GeIL  DDR4 16G PC4-19200 CL15 SUPER LUCE BLACK 블루 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"G.SKILL  DDR4 16G PC4-24000 CL15 RIPJAWS V VS (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"G.SKILL  DDR4 8G PC4-19200 CL15 NT,G.SKILL,DDR4,PC용,1ea,미포함,8GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-19200 CL15 SUPER LUCE WHITE 레드 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"타무즈  DDR4 4G PC4-19200 CL17,타무즈,DDR4,PC용,1ea,미포함,4GB,2,400MHz,1.20V"
"ESSENCORE KLEVV DDR3 16G PC3-14900 CL9 URBANE (8Gx2),ESSENCORE,DDR3,PC용,2ea,포함,16GB,1,866MHz,1.50V"
"CORSAIR  DDR4 16GB PC4-21300 CL16 VENGEANCE RGB (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,2,666MHz,1.20V"
"TeamGroup T-Force DDR4 8G PC4-19200 CL14 DARK Red (4Gx2),TeamGroup,DDR4,PC용,2ea,포함,8GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-17000 CL15 SUPER LUCE BLACK 레드,GeIL,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"AVEXIR  DDR4 8G PC4-24000 CL16 RAIDEN (4Gx2),AVEXIR,DDR4,PC용,2ea,포함,8GB,3,000MHz,1.35V"
"TeamGroup T-Force DDR4 8G PC4-19200 CL14 VULCAN Gray,TeamGroup,DDR4,PC용,1ea,포함,8GB,2,400MHz,1.20V"
"TeamGroup T-Force DDR4 16G PC4-19200 CL14 VULCAN Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-25600 CL16 EVO FORZA 레드 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"GeIL  DDR4 16G PC4-19200 CL15 SUPER LUCE BLACK 그린 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"GeIL  DDR4 8G PC4-17000 CL15 SUPER LUCE WHITE 블루,GeIL,DDR4,PC용,1ea,포함,8GB,2,133MHz,1.20V"
"TeamGroup T-Force DDR4 8G PC4-19200 CL14 DARK Gray (4Gx2),TeamGroup,DDR4,PC용,2ea,포함,8GB,2,400MHz,1.20V"
"TeamGroup  DDR4 8G PC4-17000 Elite,TeamGroup,DDR4,PC용,1ea,미포함,8GB,2,133MHz,1.20V"
"CORSAIR  DDR4 16G PC4-25600 CL16 VENGEANCE LPX 레드 (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"TeamGroup T-Force DDR4 16G PC4-19200 CL14 DARK Gray (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"CORSAIR  DDR4 16G PC4-25600 CL16 Dominator Platinum (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"GeIL  DDR4 8G PC4-19200 CL15 SUPER LUCE WHITE 그린 (4Gx2),GeIL,DDR4,PC용,2ea,포함,8GB,2,400MHz,1.20V"
"GeIL  DDR4 8G PC4-17000 CL15 SUPER LUCE BLACK 화이트,GeIL,DDR4,PC용,1ea,포함,8GB,2,133MHz,1.20V"
"GeIL  DDR4 16G PC4-17000 CL15 EVO-X RGB,GeIL,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"GeIL  DDR4 8G PC4-17000 CL15 SUPER LUCE WHITE 레드,GeIL,DDR4,PC용,1ea,포함,8GB,2,133MHz,1.20V"
"ESSENCORE KLEVV DDR4 16G PC4-24000 CL15 CRAS II WHITE (8Gx2),ESSENCORE,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"GeIL  DDR4 16G PC4-24000 CL16 SUPER LUCE BLACK 화이트 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"CORSAIR  DDR4 16G PC4-24000 CL15 VENGEANCE LPX 레드 (4Gx4),CORSAIR,DDR4,PC용,4ea,포함,16GB,3,000MHz,1.35V"
"GeIL  DDR4 8G PC4-19200 CL15 SUPER LUCE BLACK 그린 (4Gx2),GeIL,DDR4,PC용,2ea,포함,8GB,2,400MHz,1.20V"
"G.SKILL  DDR4 16G PC4-24000 CL15 RIPJAWS V VR (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"GeIL  DDR4 16G PC4-24000 CL15 EVO FORZA 레드 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.20V"
"AVEXIR  DDR4 16G PC4-21300 CL15 RAIDEN (8Gx2),AVEXIR,DDR4,PC용,2ea,포함,16GB,2,666MHz,1.35V"
"CORSAIR  DDR4 64G PC4-27700 CL16 Dominator Platinum (16Gx4),CORSAIR,DDR4,PC용,4ea,포함,64GB,3,466MHz,1.35V"
"TeamGroup T-Force DDR4 4G PC4-19200 CL14 VULCAN Gray,TeamGroup,DDR4,PC용,1ea,포함,4GB,2,400MHz,1.20V"
"TeamGroup T-Force DDR4 16G PC4-25600 CL16 Night Hawk Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"TeamGroup T-Force DDR4 8G PC4-19200 CL14 DARK Gray,TeamGroup,DDR4,PC용,1ea,포함,8GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-17000 CL15 SUPER LUCE WHITE 레드,GeIL,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"TeamGroup T-Force DDR4 8G PC4-19200 CL14 DARK Red,TeamGroup,DDR4,PC용,1ea,포함,8GB,2,400MHz,1.20V"
"GeIL  DDR4 4G PC4-17000 CL15 SUPER LUCE BLACK 화이트,GeIL,DDR4,PC용,1ea,포함,4GB,2,133MHz,1.20V"
"G.SKILL  DDR4 8G PC4-24000 CL15 RIPJAWS V VRB (4Gx2),G.SKILL,DDR4,PC용,2ea,포함,8GB,3,000MHz,1.35V"
"TeamGroup T-Force DDR4 8G PC4-21300 CL15 VULCAN Gray (4Gx2),TeamGroup,DDR4,PC용,2ea,포함,8GB,2,666MHz,1.20V"
"TeamGroup T-Force DDR4 32G PC4-21300 CL15 Night Hawk Red (16Gx2),TeamGroup,DDR4,PC용,2ea,포함,32GB,2,666MHz,1.20V"
"TeamGroup T-Force DDR4 8G PC4-21300 CL15 DARK Red (4Gx2),TeamGroup,DDR4,PC용,2ea,포함,8GB,2,666MHz,1.20V"
"GeIL  DDR4 4G PC4-17000 CL15 EVO-X RGB,GeIL,DDR4,PC용,1ea,포함,4GB,2,133MHz,1.20V"
"GeIL  DDR4 16G PC4-17000 CL15 SUPER LUCE WHITE 블루,GeIL,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"TeamGroup  DDR4 16G PC4-17000 New Elite Plus Black Gold,TeamGroup,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"TeamGroup T-Force DDR4 16G PC4-19200 CL15 VULCAN Gray,TeamGroup,DDR4,PC용,1ea,포함,16GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-19200 CL15 SUPER LUCE BLACK 레드 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,2,400MHz,1.20V"
"TeamGroup T-Force DDR4 16G PC4-22400 CL16 DARK Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2,800MHz,1.20V"
"G.SKILL  DDR4 16G PC4-30900 CL18 TRIDENT ZSW (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,866MHz,1.35V"
"TeamGroup T-Force DDR4 4G PC4-19200 CL14 DARK Red,TeamGroup,DDR4,PC용,1ea,포함,4GB,2,400MHz,1.20V"
"G.SKILL  DDR4 4G PC4-19200 CL15 NT (4Gx1),G.SKILL,DDR4,PC용,1ea,미포함,4GB,2,400MHz,1.20V"
"TeamGroup T-Force DDR4 32G PC4-24000 CL16 Night Hawk Red (16Gx2),TeamGroup,DDR4,PC용,2ea,포함,32GB,3,000MHz,1.35V"
