"삼성전자  750 EVO(120GB),삼성전자,내장형,2.5형(6.4cm),TLC 기반,,16 nm,삼성,최대 520MB/s,최대 540MB/s,,O,,,,,"
"PNY  OPTIMA RE SSD(512GB),PNY,내장형,2.5형(6.4cm),MLC(토글),,,,최대 400MB/s,최대 550MB/s,,,,,,,"
"e-STAR  SATADOM SDOM 벌크 디지탈그리고나(32GB),e-STAR,산업용,,MLC(토글),,,파이슨,,,,,,,,,"
"e-STAR  SSD Series S9(64GB),e-STAR,내장형,2.5형(6.4cm),MLC(토글),,,,최대 440MB/s,최대 540MB/s,,,,,,,"
"e-STAR  ST380 M.2 2280(128GB),e-STAR,내장형,M.2 (2280),MLC(기타),,,파이슨,,,,,,,,,"
"e-STAR  SX301 mSATA(256GB),e-STAR,내장형,Mini SATA(mSATA),TLC(토글),,,파이슨,450MB/s,550MB/s,,,,,,,"
"파이슨  2.5 SSD S925 벌크 디지탈그리고나(128GB),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 440MB/s,최대 540MB/s,,,,,,,"
"트랜센드  SSD370S(512GB),트랜센드,내장형,2.5형(6.4cm),MLC(동기식),,,Transcend TS6500,최대 460MB/s,최대 560MB/s,,,,,,,"
"PNY  OPTIMA RE SSD(256GB),PNY,내장형,2.5형(6.4cm),MLC(토글),,,,최대 300MB/s,최대 530MB/s,,,,,,,"
"e-STAR  SX300 mSATA(8GB),e-STAR,내장형,Mini SATA(mSATA),MLC(기타),,,파이슨,,,,,,,,,"
"디오테라  VIVA 300S mSATA(256GB),디오테라,내장형,Mini SATA(mSATA),MLC(기타),2D낸드,,실리콘모션 SM2246,최대 380MB/s,최대 540MB/s,,,,,,,"
"e-STAR  SSD Series S9(128GB),e-STAR,내장형,2.5형(6.4cm),MLC(토글),,,,최대 510MB/s,최대 560MB/s,,,,,,,"
"킹스톤  SSDNow A400(120GB),킹스톤,내장형,2.5형(6.4cm),TLC(기타),2D낸드,,킹스톤,최대 320MB/s,최대 500MB/s,,,,,,,"
"삼성전자  SM961 M.2 2280 병행수입(1TB),삼성전자,내장형,,MLC(토글),3D낸드,,삼성 Polaris (AMD),최대 1,800MB/s,최대 3,200MB/s,,,,,,,"
"디오테라  VIVA 300S PRO(512GB),디오테라,내장형,2.5형(6.4cm),MLC(기타),2D낸드,,실리콘모션 SM2246,최대 385MB/s,최대 500MB/s,,,,,,,"
"ADATA  Ultimate SU800 M.2 2280(128GB),ADATA,내장형,M.2 (2280),TLC(기타),3D낸드,,실리콘모션,최대 300MB/s,최대 560MB/s,,,,,,,"
"인텔  540s(1TB),인텔,내장형,2.5형(6.4cm),TLC(토글),,,,최대 480MB/s,최대 560MB/s,,O,,,,,"
"바른전자  BSS500S(256GB),바른전자,내장형,2.5형(6.4cm),TLC(토글),3D낸드,15 nm,파이슨 PS3111-S11,540MB/s,560MB/s,,,,,,,"
"실리콘파워  Slim S55(240GB),실리콘파워,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,,최대 370MB/s,최대 450MB/s,,,,,,,"
"e-STAR  ES-SE221,e-STAR,M.2 컨버터,,,,,,,,,,,,,,"
"파이슨  mSATA SSD S9MS 디지탈그리고나(32GB, 벌크),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 200MB/s,최대 510MB/s,,,,,,,"
"파이슨  S942 M.2 2242 벌크 디지탈그리고나(128GB),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 440MB/s,최대 540MB/s,,,,,,,"
"트랜센드  MTS400 Series(512GB),트랜센드,내장형,M.2 (2242),MLC(기타),,,Transcend TS6500,460MB/s,560MB/s,,,,,,,"
"인텔  750 Series(400GB),인텔,내장형,PCIe 카드,MLC(기타),,20 nm,인텔,최대 900MB/s,최대 2,200MB/s,,,,,,,"
"ADATA  Ultimate SU900(1TB),ADATA,내장형,2.5형(6.4cm),MLC(기타),3D낸드,,실리콘모션 SMI 2258,최대 525MB/s,최대 560MB/s,,,,,,,"
"파이슨  Half Slim SSD S9HS 벌크 디지탈그리고나(16GB),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 150MB/s,최대 300MB/s,,,,,,,"
"e-STAR  mSATA SSD 컨버터 (SMU31),e-STAR,SSD 주변기기,철재(SECC),,,,,,,,,,,,,"
"파이슨  mSATA SSD S9MS 디지탈그리고나(128GB, 벌크),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 200MB/s,최대 510MB/s,,,,,,,"
"삼성전자  PM871 M.2 2280 병행수입(512GB),삼성전자,내장형,,,,,,510MB/s,540MB/s,,,,,,,"
"트랜센드  SSD220S(480GB),트랜센드,내장형,2.5형(6.4cm),TLC(기타),2D낸드,,기타,최대 450MB/s,최대 550MB/s,,,,,,,"
"트랜센드  SSD230S(128GB),트랜센드,내장형,,TLC(기타),3D낸드,,,최대 300MB/s,최대 560MB/s,,,,,,,"
"e-STAR  3.5 변환 SSD 가이드,e-STAR,SSD 주변기기,철재(SECC),,,,,,,,,,,,,"
"파이슨  mSATA SSD S9MS 디지탈그리고나(256GB, 벌크),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 200MB/s,최대 510MB/s,,,,,,,"
"블루존  M.2 USB 3.0 UASP(하드미포함),블루존,SSD 주변기기,알류미늄,,,,JMicron JMS567,,,,,,,,,"
"NCTOP  MIRASOL 2.5 슬롯형 SSD GUIDE,NCTOP,,,,,,,,,,,,,,,"
"e-STAR  Half Slim SSD i1000(64GB),e-STAR,산업용,2.5형(6.4cm),MLC(토글),,,파이슨 PS3109-S9,최대 440MB/s,최대 550MB/s,,,,,,,"
"명인일렉트로닉스 엠트루 M.2 SSD 컨버터 (MSV-120),명인일렉트로닉스,SSD 주변기기,,,,,,,,,,,,,,"
"삼성전자  SM951 M.2 2280 병행수입(512GB),삼성전자,내장형,,MLC(토글),,,삼성 UBX,최대 1,260MB/s,최대 2,150MB/s,,,,,,,"
"파이슨  S1125 벌크(128GB),파이슨,내장형,,TLC(기타),3D낸드,,파이슨,,,,,,,,,"
"OCZ SS  TL100 병행수입(240GB),OCZ SS,내장형,,TLC(토글),,,,,,,,,,,,"
"트랜센드  MTS800 M.2 2280(128GB),트랜센드,내장형,M.2 (2280),MLC(동기식),,20 nm,Transcend TS6500,최대 170MB/s,최대 540MB/s,,,,,,,"
"MiSD  Core M250(120GB),MiSD,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88NV1120,최대 400MB/s,최대 530MB/s,,,,,,,"
"명인일렉트로닉스 엠트루 M.2 SSD 컨버터 (MSV-119),명인일렉트로닉스,SSD 주변기기,,,,,,,,,,,,,,"
"e-STAR  SSD Series S9(256GB),e-STAR,내장형,2.5형(6.4cm),MLC(토글),,,,최대 530MB/s,최대 560MB/s,,,,,,,"
"파이슨  mSATA SSD S9MS 디지탈그리고나(64GB, 벌크),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 200MB/s,최대 510MB/s,,,,,,,"
"NETmate  SSD Mini SATA 변환 케이스 (NM-SSC2),NETmate,SSD 주변기기,알류미늄,,,,,,,,,,,,,"
"e-STAR  Elite S91(128GB),e-STAR,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,파이슨,최대 520MB/s,최대 560MB/s,,,,,,,"
"파이슨  S57 M.2 2280 벌크(256GB),파이슨,내장형,,MLC(기타),2D낸드,,파이슨,,,,,,,,,"
"PATRIOT  SPARK(256GB),PATRIOT,내장형,2.5형(6.4cm),TLC(토글),,15 nm,파이슨 S11,최대 500MB/s,최대 555MB/s,,,,,,,"
"파이슨  Half Slim SSD S9HS 벌크 디지탈그리고나(32GB),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 150MB/s,최대 500MB/s,,,,,,,"
"e-STAR  Elite S91(256GB),e-STAR,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,파이슨,최대 540MB/s,최대 560MB/s,,,,,,,"
"e-STAR  SATADOM SDOM 벌크 디지탈그리고나(16GB),e-STAR,산업용,,MLC(토글),,,파이슨,,,,,,,,,"
"파이슨  Half Slim SSD S9HS 벌크 디지탈그리고나(64GB),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 180MB/s,최대 520MB/s,,,,,,,"
"e-STAR  Half Slim SSD i1000(16GB),e-STAR,산업용,2.5형(6.4cm),MLC(토글),,,파이슨 PS3109-S9,최대 440MB/s,최대 540MB/s,,,,,,,"
"삼성전자  PM961 M.2 2280 병행수입(1TB),삼성전자,내장형,,TLC(토글),,,삼성 Polaris (AMD),,,,,,,,,"
"e-STAR  M.2 SSD 컨버터 (SMU31),e-STAR,SSD 주변기기,철재(SECC),,,,,,,,,,,,,"
"트랜센드  SSD370S(1TB),트랜센드,내장형,2.5형(6.4cm),MLC(동기식),,,Transcend TS6500,최대 460MB/s,최대 560MB/s,,,,,,,"
"PNY  3.5 변환 SSD 가이드,PNY,SSD 주변기기,철재(SECC),,,,,,,,,,,,,"
"삼성전자  850 PRO 병행수입(512GB),삼성전자,내장형,,,3D낸드,,삼성 3-CORE MEX,최대 520MB/s,최대 550MB/s,,,,,,,"
"파이슨  S980 M.2 2280 벌크 디지탈그리고나(256GB),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 300MB/s,최대 530MB/s,,,,,,,"
"MK2  듀얼 SSD 가이드(HG-2),MK2,SSD 주변기기,플라스틱,,,,,,,,,,,O,,"
"트랜센드  SSD230S(256GB),트랜센드,내장형,,TLC(기타),3D낸드,,,최대 520MB/s,최대 560MB/s,,,,,,,"
"삼성씨앤에이치  D2 3.5 SSD 듀얼 가이드,삼성씨앤에이치,SSD 주변기기,알류미늄,,,,,,,,,,,O,,"
"e-STAR  ST381 M.2 2280(128GB),e-STAR,내장형,M.2 (2280),TLC(토글),,,파이슨,최대 520MB/s,최대 550MB/s,,,,,,,"
"베이스캠프  BC-G2535 SSD 가이드,베이스캠프,SSD 주변기기,플라스틱,,,,,,,,,,,O,,"
"명인일렉트로닉스 엠트루 M.2 SSD 컨버터 (MSV-125),명인일렉트로닉스,SSD 주변기기,,,,,,,,,,,,,,"
"킹스톤  S3 M.2 2280 벌크(256GB),킹스톤,내장형,,MLC(토글),,15 nm,,최대 150MB/s,최대 510MB/s,,,,,,,"
"인텔  600P M.2 2280(256GB),인텔,내장형,M.2 (2280),TLC(기타),3D낸드,,,최대 560MB/s,최대 1,800MB/s,,O,,,,,"
"Sandisk  X400(512GB),Sandisk,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88SS1074-BSW2,최대 520MB/s,최대 540MB/s,,,,,,,"
"파이슨  S980 M.2 2280 벌크 디지탈그리고나(128GB),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 160MB/s,최대 500MB/s,,,,,,,"
"e-STAR  ES-SM225,e-STAR,M.2 컨버터,,,,,,,,,,,,,,"
"인텔  540s M.2 2280(1TB),인텔,내장형,M.2 (2280),TLC(토글),,,,최대 480MB/s,최대 560MB/s,,O,,,,,"
"파이슨  S57 M.2 2280 벌크(512GB),파이슨,내장형,,MLC(기타),2D낸드,,파이슨,,,,,,,,,"
"PATRIOT  SPARK(128GB),PATRIOT,내장형,2.5형(6.4cm),TLC(토글),,15 nm,파이슨 S11,최대 500MB/s,최대 555MB/s,,,,,,,"
"PATRIOT  SPARK(512GB),PATRIOT,내장형,2.5형(6.4cm),TLC(토글),,15 nm,파이슨 S11,최대 540MB/s,최대 560MB/s,,,,,,,"
"명인일렉트로닉스 엠트루 M.2 SSD 컨버터 (MSV-128),명인일렉트로닉스,SSD 주변기기,,,,,,,,,,,,,,"
"파이슨  S1125 벌크(256GB),파이슨,내장형,,TLC(기타),3D낸드,,파이슨,,,,,,,,,"
"인텔  600P M.2 2280(512GB),인텔,내장형,M.2 (2280),TLC(기타),3D낸드,,,최대 560MB/s,최대 1,800MB/s,,O,,,,,"
"CRAFT  N1(120GB),CRAFT,내장형,2.5형(6.4cm),TLC(토글),2D낸드,,,최대 400MB/s,최대 500MB/s,,,,,,,"
"인텔  DC S3520 Series(240GB),인텔,내장형,2.5형(6.4cm),MLC(동기식),3D낸드,16 nm,,최대 380MB/s,최대 450MB/s,,,,,,,"
"바른전자  BSS500(240GB),바른전자,내장형,2.5형(6.4cm),TLC(토글),2D낸드,,파이슨 PS3110-S10,490MB/s,560MB/s,,,,,,,"
"BIWIN  Half Slim SSD H6210(8GB),BIWIN,산업용,기타,MLC(기타),,,기타,,,,,,,,,"
"CRAFT  N1(240GB),CRAFT,내장형,2.5형(6.4cm),TLC(토글),2D낸드,,,최대 400MB/s,최대 500MB/s,,,,,,,"
"BIWIN  Half Slim SSD H6210(32GB),BIWIN,산업용,기타,MLC(기타),,,기타,,,,,,,,,"
"Sandisk  X400 M.2 2280(512GB),Sandisk,내장형,M.2 (2280),TLC(토글),,,마벨88SS1074-BSW2,최대 520MB/s,최대 540MB/s,,,,,,,"
"PNY  2.5 변환 SSD 가이드,PNY,SSD 주변기기,플라스틱,,,,,,,,,,,,,"
"트랜센드  SSD340K(256GB),트랜센드,내장형,2.5형(6.4cm),MLC(토글),,,JMicron JMF670H,330MB/s,560MB/s,,,,,,,"
"티피원  M.2 SATA to SATA 변환 케이스 (TPM2580),티피원,SSD 주변기기,플라스틱,,,,,,,,,,,,,"
"BIWIN  Half Slim SSD H6210(16GB),BIWIN,산업용,기타,MLC(기타),,,기타,,,,,,,,,"
"명인일렉트로닉스 엠트루 SATADOM MD925H(32GB),명인일렉트로닉스,산업용,SATA DOM,MLC(동기식),,,파이슨 PS3109-S9,430MB/s,540MB/s,,,,,,,"
"ADATA  Ultimate SU800 M.2 2280(512GB),ADATA,내장형,M.2 (2280),TLC(기타),3D낸드,,실리콘모션,최대 520MB/s,최대 560MB/s,,,,,,,"
"트랜센드  SSD340K(128GB),트랜센드,내장형,2.5형(6.4cm),MLC(토글),,,JMicron JMF670H,170MB/s,560MB/s,,,,,,,"
"ADATA  Premier Pro New SP920(1TB),ADATA,내장형,2.5형(6.4cm),MLC(동기식),,,마벨 88SS9187,최대 460MB/s,최대 560MB/s,,,,,O,,"
"ICY DOCK  2.5 2베이 가이드 (MB990SP-B),ICY DOCK,SSD 주변기기,플라스틱,,,,,,,,,,,,,"
"ADATA  Premier SP550 M.2 2280(480GB),ADATA,내장형,M.2 (2280),TLC(토글),,,실리콘모션,최대 510MB/s,최대 560MB/s,,,,,,,"
"트랜센드  MTS600 M.2 2260(128GB),트랜센드,내장형,M.2 (2260),MLC(동기식),,20 nm,Transcend TS6500,최대 170MB/s,최대 540MB/s,,,,,,,"
"파이슨  mSATA SSD S9MS 디지탈그리고나(8GB, 벌크),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,최대 200MB/s,최대 510MB/s,,,,,,,"
"명인일렉트로닉스 엠트루 SATADOM MD925H(8GB),명인일렉트로닉스,산업용,SATA DOM,MLC(동기식),,,파이슨 PS3109-S9,430MB/s,540MB/s,,,,,,,"
"Sandisk  X400(1TB),Sandisk,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88SS1074-BSW2,최대 520MB/s,최대 545MB/s,,,,,,,"
"삼성전자  CM871a M.2 2280 병행수입(128GB),삼성전자,내장형,,확인 요망,,,,430MB/s,520MB/s,,,,,,,"
"명인일렉트로닉스 엠트루 SATADOM MD935H(8GB),명인일렉트로닉스,산업용,SATA DOM,MLC(동기식),,,파이슨 PS3109-S9,430MB/s,540MB/s,,,,,,,"
"트랜센드  MTS800 M.2 2280(512GB),트랜센드,내장형,M.2 (2280),MLC(동기식),,20 nm,Transcend TS6500,최대 460MB/s,최대 550MB/s,,,,,,,"
"명인일렉트로닉스 엠트루 SATADOM MD935H(32GB),명인일렉트로닉스,산업용,SATA DOM,MLC(동기식),,,파이슨 PS3109-S9,430MB/s,540MB/s,,,,,,,"
"트랜센드  MTS800 M.2 2280(256GB),트랜센드,내장형,M.2 (2280),MLC(동기식),,20 nm,Transcend TS6500,최대 320MB/s,최대 550MB/s,,,,,,,"
"트랜센드  M.2 SSD 외장 케이스 (TS-CM42)(하드미포함),트랜센드,SSD 주변기기,,,,,,,,O,,,,,,"
"Colorful  SL300 ONYX XT(60GB),Colorful,내장형,2.5형(6.4cm),MLC(기타),2D낸드,,실리콘모션 SM2246XT,최대 71MB/s,최대 481MB/s,,,,,,,"
"트랜센드  SSD230S(512GB),트랜센드,내장형,,TLC(기타),3D낸드,,,최대 520MB/s,최대 560MB/s,,,,,,,"
"파이슨  2.5 SSD S925 디지탈그리고나(256GB, 벌크),파이슨,내장형,,MLC(동기식),,,파이슨 PS3109-S9,495MB/s,550MB/s,,,,,,,"
"길산지에스월드  GS-FLE2100(128GB),길산지에스월드,내장형,2.5형(6.4cm),TLC(기타),2D낸드,,파이슨,최대 480MB/s,최대 520MB/s,,,,,,,"
"인텔  540s(480GB),인텔,내장형,2.5형(6.4cm),TLC(토글),,,,최대 480MB/s,최대 560MB/s,,O,,,,,"
"PHINOCOM  P90S EVO(128GB),PHINOCOM,내장형,2.5형(6.4cm),TLC,,,파이슨 PS3111-S11,최대 500MB/s,최대 555MB/s,,,,,,,"
"마이크론 Crucial MX300 병행수입(275GB),마이크론,내장형,,TLC(기타),3D낸드,,마벨 88SS1074,최대 500MB/s,최대 530MB/s,,,,,,,"
"트랜센드  MSA370 mSATA(64GB),트랜센드,내장형,Mini SATA(mSATA),MLC(동기식),,20 nm,Transcend TS6500,80MB/s,520MB/s,,,,,,,"
"ADATA  3.5 변환 SSD 가이드,ADATA,SSD 주변기기,플라스틱,,,,,,,,,,,,,"
"갤럭시 GALAX 2.5형 SSD 변환가이드,갤럭시,SSD 주변기기,플라스틱,,,,,,,,,,,,,"
"트랜센드  MSA370 mSATA(128GB),트랜센드,내장형,Mini SATA(mSATA),MLC(동기식),,20 nm,Transcend TS6500,160MB/s,560MB/s,,,,,,,"
"트랜센드  MTS820 M.2 2280(240GB),트랜센드,내장형,M.2 (2280),TLC(토글),,,실리콘모션 SM2256KAB,최대 450MB/s,최대 550MB/s,,,,,,,"
"명인일렉트로닉스 엠트루 Half Slim SSD MH915(16GB),명인일렉트로닉스,산업용,Half Slim,MLC(동기식),,,파이슨 PS3109-S9,430MB/s,530MB/s,,,,,,,"
"BIWIN  mSATA SSD M6210(16GB),BIWIN,산업용,Mini SATA(mSATA),MLC(기타),,,기타,,,,,,,,,"
"트랜센드  SSD 설치 키트 (TS-CK3),트랜센드,SSD 주변기기,,,,,,,,,,,,,,"
"삼성전자  850 PRO 병행수입(1TB),삼성전자,내장형,,,3D낸드,,삼성 3-CORE MEX,최대 520MB/s,최대 550MB/s,,,,,,,"
